Latitude,Longitude,PTrain_RFL
29.97,77.04,11.89
28.07,75.62,3.57
9.92,78.12,26.11
9.83,78.08,26.58
17.93,73.67,4.87
16.75,78.0,6.68
21.08,71.78,-0.41
27.23,79.05,3.45
26.75,92.35,37.74
22.0,80.7,9.71
25.03,88.13,24.08
20.55,74.53,2.51
21.17,81.73,9.15
32.27,77.17,86.19
22.58,80.37,8.46
22.82,69.27,-0.79
12.5,76.83,8.85
12.92,74.88,8.97
12.95,74.83,9.14
16.18,81.13,5.23
27.5,77.68,2.6
12.92,92.92,12.24
18.05,78.27,7.6
12.42,75.73,10.02
29.02,77.63,7.57
11.8,77.82,16.83
22.42,87.32,26.37
8.3,73.0,37.2
28.83,78.75,7.9
15.42,73.78,1.82
26.67,84.92,9.4
30.58,78.48,57.44
29.47,79.65,46.68
18.9,72.82,-0.83
19.12,72.85,-0.68
30.45,78.08,51.38
29.47,77.73,9.99
26.12,85.4,10.99
12.3,76.7,8.94
11.8,76.0,11.39
27.54,79.69,4.22
24.65,84.58,11.51
15.47,79.87,5.7
20.87,84.4,14.41
13.11,80.3,9.84
9.93,78.12,26.03
16.45,77.43,8.94
22.87,87.98,29.77
24.77,77.7,4.08
24.78,78.44,4.65
28.45,76.11,4.24
26.4,89.75,27.55
24.03,78.38,5.34
22.69,88.15,30.25
21.02,73.15,1.33
25.03,87.32,21.43
19.47,82.58,10.73
26.72,92.9,39.28
10.2,76.72,24.2
26.13,85.63,11.66
28.42,73.37,3.69
24.85,83.78,8.37
24.05,78.89,6.4
21.55,74.7,3.49
17.53,78.59,6.48
26.02,79.34,2.69
15.68,75.63,4.83
27.87,79.44,4.82
12.75,79.67,12.41
13.04,80.23,10.19
16.53,75.58,5.15
19.62,74.57,2.52
27.57,79.74,4.43
30.77,79.48,55.56
17.93,78.8,6.81
25.65,75.59,1.1
17.55,73.98,1.46
19.32,74.33,1.5
23.1,80.23,8.08
26.43,92.03,35.96
17.52,75.47,5.37
18.23,73.28,0.33
