Station name,Index No.,Latitude,Longitude,Absolute elevation,Elevation of wind instrument,Distance from Coast
BELGAUM,43197,15 51,74 32,753,764,82.25
BELGAUM SAMRA (A),43198,15 51,74 37,747,755,91.67
BELLARY,43205,15 09,76 51,449,458,270.56
BERHAMPORE,42603,24 08,88 16,19,27,213.08
BETUL,42860,21 52,77 56,653,663,517.1
BHAGALPUR,42498,25 14,86 57,49,56,351.74
BHATINDA,42097,30 10,74 35,211,219,893.48
BHAVNAGAR (A),42838,21 45,72 11,11,25,4.62
BHAWANI-PATNA,43042,19 55,83 11,261,274,186.51
BHILWARA,42447,25 21,74 38,425,438,385.02
BHIRA,43062,18 27,73 24,96,104,36.11
BHOPAL (BAIRAGARH),42667,23 17,77 21,523,535,468.87
BHUBANESHWAR (A),42971,20 15,85 50,46,54,48.17
BHUJ (RUDRAMATA),42634,23 15,69 40,80,90,43.47
BHUNTAR (A),42081,31 50,77 10,1096,1105,1144.03
BIDAR,43125,17 55,77 32,664,675,383.73
BIJAPUR,43161,16 49,75 43,594,604,243.64
BIKANER,42165,28 00,73 18,224,229,637.17
BILASPUR,42080,31 15,76 40,587,,1065.98
BOLANGIR,42963,20 42,83 30,190,201,216.07
BRAHMAPURI,42946,20 36,79 51,229,239,468.38
BULDANA,42931,20 32,76 14,650,660,344.36
BULSAR (VALSAD),42915,20 37,72 56,15,24.6,2.32
CANNING,42812,22 15,88 40,4,8,19.54
CAR-NICOBAR,43367,09 10,92 50,10,13,0
CHAIBASA,42795,22 33,85 49,226,234,173.21
CHAMBAL (RAWAT BHATTA DAM),42552,24 55,75 35,351,,401.42
CHAMPA,42783,22 02,82 42,245,261,381.12
CHANDBALI,42973,20 47,86 44,6,13,14.18
CHANDRAPUR (CHANDA),43029,19 58,79 18,193,202,458.81
CHAPARMUKH,42414,26 12,92 31,66,73,397.33
CHAPRA,42488,25 47,84 44,58,66,517.89
CHENNAI (MINAMBAKKAM) (A),43279,13 00,80 11,16,31,9.14
CHENNAI (NUNGAMBAKKAM),43278,13 04,80 15,6,19,2.85
CHERRAPUNJI,42515,25 15,91 44,1313,1315,277.74
CHHINDWARA,42768,22 06,79 00,685,695,655.05
CHICKMAGALUR,43260,13 15,75 45,1057,1064,105.86
CHITRADURGA,43233,14 14,76 26,733,740,195.78
CHITTORGARH,42546,24 53,74 38,404,409.97,339.46
CHURK,5219,24 39,83 06,323,330.2,536.62
CHURU,42170,28 15,74 55,291,305,694.79
COIMBATORE,43319,11 00,76 58,409,421,111.14
COIMBATORE (PILAMEDU),43321,11 02,77 03,400,416,120.43
CONTAI,42900,21 47,87 45,11,18,9.24
COOCH BEHAR,42403,26 20,89 28,43,46,415.32
CUDDALORE,43329,11 46,79 46,12,30,2.82
CUDDAPAH,43241,14 29,78 50,130,139,139.19
CUTTAK,42970,20 28,85 56,27,38,67.01
DAHANU,43001,19 58,72 43,5,16,0
DALHOUSIE,42059,32 32,75 58,1959,1961,1179.78
DALTONGANJ,42587,24 03,84 04,221,230,417.74
DAMOH,42674,23 50,79 27,371,380.6,691.31
DARBHANGA,42391,26 10,85 54,49,60,488.82
DARJEELING,42295,27 03,88 16,2127,2134,537.18
DATIA,42460,25 40,78 28,229,238.3,679.96
DEESA,42539,24 12,72 12,136,149,207.77
DEHRADUN,42111,30 19,78 02,682,693,1030.66
DEHRI,42588,24 55,84 11,107,115,479.75
DEVGAD (DEVGARH),43153,16 23,73 21,36,43,0
DHANBAD,42703,23 47,86 26,257,264,237.65
DHAR,42752,22 36,75 18,583,591.4,248.25
DHARAMAPURI,43301,12 08,78 02,396,408,194.89
DHARMSALA,42062,32 16,76 23,1211,1218,1163.36
DHOLPUR,42354,26 40,77 50,176,186,698.37
DHUBRI,42404,26 01,89 59,35,45,368.99
DHUBRI (RUPSI) (A),42406,26 09,89 55,45,60,384.38
DIAMOND HARBOUR,42811,22 11,88 12,7,10,0.85
DIBRUGARHL (MOHANBARI) (A),42314,27 29,95 01,111,113,636.09
DIGHA,42901,21 50,87 47,6,15,9.9
DIU,42914,20 43 ,70 55,15,31,1.32
DOHAD,42751,22 50,74 16,333,346,153
DOLPHINE NOSE/CDR VISAKHAPATNAM,14209,17 43,83 18,152.3,158.4,2.14
DUMKA,42599,24 16,87 15,149,158,240.89
DUNGARPUR,42652,23 50,73 40,291,298,194.57
DURG,42876,21 11,81 17,293,,424.19
DURGAPUR,32734,23 29,87 19,69,,157.14
DWARKA,42731,22 22,69 05,11,17,1.72
FAIZABAD,42374,26 45,82 05,102,114,771.17
FATEHPUR,42471,25 56,80 50,114,119,801.87
FEROZEPUR,42096,30 55,74 40,200,208,976.98
FORBESGANJ,42395,26 18,87 16,61,68,459.81
GADAG,43201,15 25,75 38,650,655,164.8
GANGTOK,42299,27 20,88 37,1812,1825,548.93
GANNAVARAM,43181,16 32,80 48,24,33,56.41
GAYA,42591,24 45,84 57,116,122,419.17
