Latitude,Longitude,PTrain_LC1
26.3,73.02,0.52
30.55,79.57,0.33
33.19,74.15,0.33
14.53,76.35,1.93
22.23,85.65,1.57
25.48,84.42,1.21
25.05,84.08,1.19
26.2,73.94,0.54
28.88,74.07,0.52
26.72,89.88,1.87
21.73,75.15,0.75
22.47,70.07,0.43
26.1,92.73,2.12
26.38,79.19,0.64
24.92,86.22,1.41
17.61,78.88,1.49
25.55,82.32,0.94
23.63,75.13,0.61
28.05,94.18,2.23
30.64,76.05,0.46
30.8,75.82,0.45
29.28,77.42,0.53
33.98,74.27,0.53
28.06,75.28,0.55
25.1,78.8,0.67
33.78,74.07,0.32
26.21,73.07,0.53
33.34,74.21,0.29
32.6,74.87,0.43
24.43,85.52,1.41
23.1,74.15,0.56
22.17,86.63,1.55
30.03,77.83,0.49
17.74,78.47,1.46
28.33,75.68,0.55
16.33,74.78,1.6
16.43,74.68,1.57
25.38,74.3,0.53
29.8,78.65,0.34
22.52,85.63,1.57
26.13,87.62,1.56
20.78,85.72,1.56
20.82,75.97,0.87
21.85,87.92,1.67
10.95,78.08,2.1
24.32,92.0,2.0
16.95,82.23,1.8
27.07,88.47,1.65
18.33,84.13,1.76
11.73,78.97,2.16
32.4,78.25,0.64
20.27,81.48,1.3
22.67,76.73,0.76
11.83,75.33,2.06
26.43,80.37,0.64
8.08,77.5,2.34
31.33,75.33,0.44
10.92,79.83,2.32
10.07,78.8,2.31
29.7,77.03,0.5
14.78,74.13,1.67
33.0,74.9,0.29
21.62,85.58,1.63
21.32,70.32,0.58
24.98,79.92,0.67
17.25,80.15,1.52
21.83,76.37,0.8
21.82,75.62,0.76
27.9,80.8,0.63
22.08,82.15,1.18
9.95,76.27,2.21
10.23,77.47,3.71
12.95,78.3,2.44
16.7,74.23,1.51
22.53,88.33,1.64
22.65,88.45,1.65
7.22,93.73,3.44
10.75,79.35,2.22
25.15,75.85,0.64
25.18,75.9,0.64
17.55,80.63,1.52
9.53,76.6,2.23
11.25,75.78,2.11
23.4,88.52,1.62
10.4,78.67,2.26
33.58,75.5,0.41
34.42,74.3,0.36
15.83,78.07,1.6
26.85,79.5,0.62
25.22,82.72,1.01
13.24,76.86,2.19
19.28,74.37,1.08
17.87,78.76,1.45
17.22,78.03,1.52
13.55,76.01,2.18
22.5,73.75,0.57
21.53,73.43,0.66
32.68,74.76,0.44
31.91,75.45,0.44
29.92,77.07,0.5
13.02,80.12,2.15
27.57,79.35,0.6
27.51,79.51,0.6
30.02,79.07,0.26
13.35,77.98,2.3
34.3,73.95,0.45
34.12,74.81,0.39
28.62,72.97,0.53
22.17,85.62,1.57
27.78,79.32,0.62
21.85,72.13,0.56
17.5,74.75,1.41
26.7,89.45,1.81
28.19,75.7,0.55
20.03,77.83,0.94
25.25,94.47,2.57
26.89,79.65,0.62
17.92,82.97,1.72
22.44,88.1,1.62
11.7,75.53,2.07
30.04,73.95,0.46
9.82,77.15,3.02
21.95,85.32,1.61
21.23,78.9,0.86
22.05,78.3,0.81
26.8,75.64,0.59
19.25,73.15,0.95
19.5,83.32,1.61
33.23,74.39,0.33
32.96,74.41,0.41
24.6,84.82,1.28
29.79,78.71,0.37
19.9,86.12,1.72
29.87,78.72,0.25
20.27,85.18,1.58
21.42,79.27,0.89
17.07,78.49,1.62
25.4,79.5,0.67
12.85,74.9,1.93
28.93,74.89,0.54
23.1,71.4,0.44
23.43,85.32,1.49
12.42,78.38,2.18
11.83,75.67,2.1
23.48,70.47,0.35
22.42,71.87,0.5
25.13,75.58,0.61
24.54,75.71,0.63
25.7,81.35,0.8
17.28,76.22,1.32
21.78,85.97,1.62
21.32,77.61,0.85
10.92,76.43,2.11
10.47,79.73,2.31
20.23,83.28,1.44
18.15,73.0,1.13
27.05,79.39,0.62
26.65,79.99,0.63
27.23,79.25,0.61
23.1,74.87,0.62
28.37,76.9,0.56
29.82,78.53,0.31
19.72,76.27,1.01
33.77,74.35,0.39
30.66,76.84,0.46
26.18,92.73,2.18
23.32,91.32,1.93
25.05,75.0,0.58
26.49,79.19,0.65
9.18,76.55,2.25
10.98,78.23,2.05
34.45,74.29,0.37
24.75,78.25,0.69
24.03,79.2,0.7
17.75,77.9,1.35
27.08,79.82,0.61
15.85,77.27,1.53
22.84,88.42,1.63
24.98,78.27,0.68
23.6,74.62,0.58
23.35,77.07,0.73
16.62,73.9,1.54
23.63,85.0,1.42
22.6,81.47,1.07
18.75,73.55,1.15
26.99,79.64,0.62
24.82,78.76,0.68
33.53,77.5,1.61
24.37,82.95,1.09
25.05,84.05,1.18
25.07,83.95,1.17
16.55,73.62,1.41
29.89,78.66,0.28
24.86,78.86,0.68
29.12,75.52,0.53
25.5,75.85,0.64
23.97,93.22,2.5
23.37,93.12,2.64
29.98,78.62,0.34
24.97,85.1,1.3
22.53,88.32,1.64
26.52,85.97,1.38
26.25,76.33,0.64
28.04,75.65,0.54
25.65,94.03,2.42
33.23,74.63,0.26
20.18,85.62,1.65
28.12,74.76,0.54
25.35,75.53,0.62
18.12,73.0,1.16
21.18,71.65,0.64
25.53,86.55,1.44
26.82,70.7,0.45
21.51,77.52,0.87
22.52,79.03,0.77
21.43,78.97,0.84
13.18,80.04,2.11
27.69,79.67,0.59
17.97,78.72,1.42
16.97,78.35,1.59
34.29,74.23,0.36
34.17,74.27,0.38
15.2,76.22,1.7
19.83,83.73,1.58
12.46,80.1,2.22
24.53,75.65,0.62
16.75,77.78,1.5
10.08,78.75,2.28
13.93,78.27,2.05
27.69,79.65,0.59
16.1,78.3,1.61
16.03,79.95,1.74
28.23,95.0,2.24
11.15,75.97,2.14
26.75,94.83,2.42
29.54,77.49,0.51
9.23,76.87,2.24
33.5,74.83,1.14
21.43,74.43,0.72
12.71,76.95,2.21
8.77,78.1,2.32
11.73,75.88,2.68
24.38,84.53,1.27
25.85,85.6,1.34
30.4,77.95,0.38
12.48,76.87,2.29
8.37,77.0,2.28
34.1,74.65,0.38
17.67,82.23,1.78
34.11,74.52,0.34
18.93,77.48,1.06
9.8,76.8,2.74
17.83,73.92,1.34
23.72,85.5,1.45
23.8,81.35,0.9
12.92,74.82,1.92
26.62,89.83,1.85
24.65,79.15,0.69
29.98,78.7,0.38
24.22,84.67,1.32
23.97,87.17,1.51
17.97,78.86,1.43
27.83,79.47,0.59
16.13,76.58,1.54
9.75,76.57,2.2
11.98,75.95,2.62
24.71,79.22,0.7
24.82,85.25,1.32
16.17,76.88,1.49
32.89,74.74,0.44
24.59,79.18,0.69
34.51,76.27,1.28
23.8,80.8,0.83
26.42,87.43,1.54
13.32,77.14,2.2
24.37,87.42,1.54
23.8,86.28,1.46
12.42,92.93,3.32
26.75,80.88,0.69
30.93,75.87,0.45
30.9,75.8,0.45
25.75,93.18,2.21
34.03,74.68,0.37
25.55,76.22,0.65
34.42,74.23,0.36
30.38,77.81,0.43
24.5,87.13,1.52
24.58,78.88,0.69
21.7,84.67,1.48
23.27,92.47,2.41
25.2,93.3,2.42
13.7,75.67,2.09
25.58,93.77,2.46
26.77,84.98,1.26
27.23,94.12,2.24
25.18,86.08,1.39
28.33,73.2,0.54
24.37,87.2,1.52
21.85,87.22,1.6
24.17,88.27,1.58
30.72,76.25,0.46
17.44,78.54,1.5
22.22,70.23,0.47
24.11,78.98,0.68
25.47,92.8,2.25
25.5,93.12,2.2
27.75,95.92,2.28
27.03,79.39,0.62
21.72,71.38,0.57
18.03,75.33,1.26
21.08,83.4,1.34
26.35,75.57,0.61
25.3,93.43,2.47
32.8,79.18,1.8
27.32,95.9,2.35
26.03,90.17,1.83
21.55,71.35,0.59
17.18,78.71,1.58
16.17,76.52,1.52
34.0,74.92,0.38
20.2,83.7,1.69
23.4,69.88,0.35
22.32,87.05,1.55
22.83,85.12,1.45
17.98,76.33,1.28
26.87,79.11,0.63
12.02,77.25,2.46
25.2,94.47,2.54
25.68,92.8,2.19
20.78,77.67,0.89
24.7,79.02,0.68
22.88,69.82,0.38
23.83,87.82,1.54
32.52,74.76,0.43
26.28,94.25,2.44
24.55,92.6,2.08
24.87,86.52,1.46
29.97,77.04,0.49
28.07,75.62,0.55
9.92,78.12,2.21
9.83,78.08,2.23
17.93,73.67,1.47
16.75,78.0,1.55
21.08,71.78,0.65
27.23,79.05,0.61
26.75,92.35,2.11
22.0,80.7,1.01
25.03,88.13,1.59
20.55,74.53,0.86
21.17,81.73,1.19
32.27,77.17,0.34
22.58,80.37,0.88
22.82,69.27,0.38
12.5,76.83,2.3
12.92,74.88,1.97
12.95,74.83,1.93
16.18,81.13,1.82
27.5,77.68,0.62
12.92,92.92,3.29
18.05,78.27,1.33
12.42,75.73,2.68
29.02,77.63,0.54
11.8,77.82,1.99
22.42,87.32,1.56
8.3,73.0,2.17
28.83,78.75,0.55
15.42,73.78,1.59
26.67,84.92,1.25
30.58,78.48,0.25
29.47,79.65,0.31
18.9,72.82,1.0
19.12,72.85,0.97
30.45,78.08,0.22
29.47,77.73,0.52
26.12,85.4,1.32
12.3,76.7,2.41
11.8,76.0,2.52
27.54,79.69,0.6
24.65,84.58,1.27
15.47,79.87,1.82
20.87,84.4,1.45
13.11,80.3,2.17
9.93,78.12,2.21
16.45,77.43,1.43
22.87,87.98,1.58
24.77,77.7,0.67
24.78,78.44,0.68
28.45,76.11,0.56
26.4,89.75,1.82
24.03,78.38,0.71
22.69,88.15,1.61
21.02,73.15,0.7
25.03,87.32,1.52
19.47,82.58,1.65
26.72,92.9,2.15
10.2,76.72,2.18
26.13,85.63,1.35
28.42,73.37,0.52
24.85,83.78,1.16
24.05,78.89,0.7
21.55,74.7,0.74
17.53,78.59,1.51
26.02,79.34,0.65
15.68,75.63,1.68
27.87,79.44,0.59
12.75,79.67,2.12
13.04,80.23,2.16
16.53,75.58,1.5
19.62,74.57,1.01
27.57,79.74,0.6
30.77,79.48,0.92
17.93,78.8,1.45
25.65,75.59,0.61
17.55,73.98,1.47
19.32,74.33,1.06
23.1,80.23,0.82
26.43,92.03,2.05
17.52,75.47,1.31
18.23,73.28,1.11
20.83,78.25,0.86
22.83,85.03,1.46
30.71,76.84,0.45
22.07,88.05,1.65
17.25,78.59,1.56
9.48,76.75,2.2
